Date,Company,Title,Level,Standard Level,Skill Index,Location,Total Yearly Compensation,Base Salary (/year),Stock Grant (/year),Bonus (/year),Years of Experience,Years at Company,Tag,Gender,Other Details,,,,,,,,,,
4-1-2020,Comcast,Software Engineer,Senior Principal Engineer,Principal Engineer,81.31,"Philadelphia, PA",240000,170000,35000,35000,20,5,Distributed Systems (Back-End),Other,,,,,,,,,,,
4-1-2020,globalfoundries,Software Engineer,Principal engineer,,,"Ballston Spa, NY",120000,110000,,9000,8,8,Full Stack,Male,Masters,,,,,,,,,,
4-1-2020,KPMG,Management Consultant,Manager,,56.06,"Chicago, IL",200000,175000,,25000,8,4.5,M&A,Male,,,,,,,,,,,
4-1-2020,Byton,Software Engineer,Staff,,,"Santa Clara, CA",240000,170000,40000,30000,10,2,Android,,,,,,,,,,,,
4-1-2020,Sliced Bread Design,Product Designer,Senior,,,"Mountain View, CA",130000,128000,,2000,18,1,UX,Female,,,,,,,,,,,
4-1-2020,Wolverine Asset Management,Portfolio Manager,Senior,,,"New York, NY",200000,200000,,0,10,1,Investment Management,Male,,,,,,,,,,,
4-1-2020,Google,Software Engineer,L5,Senior Engineer,51.02,"Mountain View, CA",400000,200000,160000,40000,13,4,Mobile (iOS + Android),,Masters,,,,,,,,,,
4-1-2020,Viavi Solutions,Software Engineer,P30,,,"Germantown, MD",80000,78000,,2000,2,2,Embedded,Male,,,,,,,,,,,
4-1-2020,Apollo,Software Engineer,E2,,,"San Francisco, CA",120000,120000,,0,1,1,Distributed Systems (Back-End),,,,,,,,,,,,
4-1-2020,Grab,Software Engineer,Lead / L4,,,"Bellevue, WA",248000,192000,50000,10000,4,0,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-1-2020,Microsoft,Software Engineer,60,Entry Level Engineer,11.93,"Redmond, WA",150000,120000,18000,12000,1,0,Backend,Female,Masters,,,,,,,,,,
4-1-2020,Google,Software Engineer,L4,Software Engineer,30.61,"Belo Horizonte, MG, Brazil",111000,46000,57000,9000,9,5,API Development (Back-End),Male,Masters,,,,,,,,,,
4-1-2020,ManTech,Software Engineer,mid,,,"Owings Mills, MD",77000,77000,,0,2,0,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-1-2020,Walmart,Product Manager,VP,,,"New York, NY",655000,315000,220000,120000,15,7,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-1-2020,Microsoft,Software Engineer,66,Staff Engineer,68.75,"Redmond, WA",338000,220000,74000,44000,11,2,Site Reliability (SRE),Male,,,,,,,,,,,
4-1-2020,Microsoft,Product Manager,59,,1.52,"Redmond, WA",217000,110000,37000,70000,0,0,Mixed Reality,Female,,,,,,,,,,,
4-1-2020,NetApp,Member of Technical Staff,MTS III,,,"Sunnyvale, CA",152000,142000,,10000,3,3,Distributed Systems (Back-End),Male,5k sign-on bonus and 7k relocation. - Masters,,,,,,,,,,
4-1-2020,Snap,Software Engineer,L5,Staff Engineer,66.34,"Santa Monica, CA",552000,210000,312000,30000,13,1,Mobile (iOS + Android),,,,,,,,,,,,
4-1-2020,JPMorgan Chase,Software Engineer,Vice President,Senior Engineer,50,"Westerville, OH",180000,150000,,30000,20,0,DevOps,,,,,,,,,,,,
4-1-2020,Workday,Software Engineer,P4,Senior Engineer,54.55,"Pleasanton, CA",234000,144000,80000,10000,4,4,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-1-2020,schwab,Software Engineer,sr,,,"Raleigh, NC",141000,125000,,14000,10,4,API Development (Back-End),Male,Masters,,,,,,,,,,
4-1-2020,Expensify,Software Engineer,L1,,,"San Francisco, CA",193000,135000,58000,0,0,0,Full Stack,,,,,,,,,,,,
4-1-2020,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Redmond, WA",185000,150000,20000,15000,5,0,Server,Male,Sign-on  20k - Masters,,,,,,,,,,
4-1-2020,AT&T,Technical Sales,2,,,"Kansas City, MO",197000,150000,,47000,10,2,iOS,Male,Masters,,,,,,,,,,
4-1-2020,itron,technical support engineer,l3,,,"San Jose, CA",133000,124000,,9000,12,7,CUSTOMER SERVICE,,,,,,,,,,,,
4-1-2020,Broadcom,Hardware Engineer,ICB 5,,,"San Jose, CA",360000,180000,140000,40000,14,5,IC design,Other,,,,,,,,,,,
4-1-2020,Amazon,Software Engineering Manager,Senior SDM,,48.61,"Seattle, WA",350000,160000,190000,0,13,8.5,iOS,Male,Masters,,,,,,,,,,
4-1-2020,Salesforce,Software Engineer,Lead MTS,Senior Engineer,61,"San Francisco, CA",338000,255000,45000,38000,13,0,Security,Male,Sign-on 40k - Masters and PhD,,,,,,,,,,
4-1-2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Sunnyvale, CA",209000,165000,20000,20000,2,0,API Development (Back-End),Female,Masters,,,,,,,,,,
4-2-2020,Google,Technical Program Manager,L4,,,"Sunnyvale, CA",230000,142000,63000,25000,2,1,Privacy,Male,Masters,,,,,,,,,,
4-2-2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",181000,140000,4000,37000,3,0,API Development (Back-End),Male,will get stocks a bit more in 2nd year. - Masters,,,,,,,,,,
4-2-2020,Startup,Solution Architect,E3,,,"Dublin, DN, Ireland",43000,37000,6000,0,6,2,Site Reliability (SRE),,Masters,,,,,,,,,,
4-2-2020,Liberty Mutual,Software Engineer,14,,,"Boston, MA",121000,114000,,7000,4,1,Full Stack,Male,Masters,,,,,,,,,,
4-2-2020,Dropbox,Software Engineer,IC4,Staff Engineer,68.18,"San Francisco, CA",216000,150000,2000,64000,5,5,Security,Male,Masters,,,,,,,,,,
4-2-2020,Expedia,Software Engineer,SDE,Entry Level Engineer,8.59,"Chicago, IL",89000,72000,10000,7000,2,2,Distributed Systems (Back-End),,,,,,,,,,,,
4-2-2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"New York, NY",234000,154000,65000,15000,8,0,iOS,Male,,,,,,,,,,,
4-2-2020,Oracle,Software Engineering Manager,M3,,48.25,"Seattle, WA",210000,150000,60000,0,6,4,Networking,Male,,,,,,,,,,,
4-2-2020,Google,Software Engineer,L4,Software Engineer,30.61,"San Francisco, CA",150000,120000,20000,10000,12,8,Full Stack,Male,Lots of fun activities - Masters,,,,,,,,,,
4-2-2020,Deliveroo,Software Engineer,L4,,,"London, EN, United Kingdom",86000,77000,9000,0,3,1.5,Web Development (Front-End),Male,,,,,,,,,,,
4-2-2020,T-Mobile,Software Engineer,Associate Engineer,Entry Level Engineer,9.35,"Seattle, WA",110000,80000,20000,10000,2,1,Full Stack,,,,,,,,,,,,
4-2-2020,Morgan Stanley,Software Engineering Manager,Vice President,,,"New York, NY",170000,145000,,25000,12,7,Security,Male,Masters,,,,,,,,,,
4-2-2020,Zillow,Software Engineer,P3,Software Engineer,33.5,"Irvine, CA",138000,128000,10000,0,4,2,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-2-2020,Facebook,Software Engineer,E5,Senior Engineer,50.51,"Redmond, WA",361000,205000,125000,31000,17,0,Full Stack,Male,,,,,,,,,,,
4-2-2020,Kaiser Associates,Management Consultant,Associate Consultant,,,"Washington, DC",83000,76000,,7000,1,1,Strategy,Male,,,,,,,,,,,
4-2-2020,American Family Insurance,Software Engineer,Application Development Senior Engineer,,,"Madison, WI",107000,100000,,7000,6,2,Full Stack,Male,Masters,,,,,,,,,,
4-2-2020,IHS Markit Digital,Software Engineer,Software Engineer 1,,,"Boulder, CO",77000,72000,2000,3000,1,1,Full Stack,Male,,,,,,,,,,,
4-2-2020,Salesforce,Software Engineer,PMTS,,,"San Francisco, CA",405000,275000,75000,55000,10,0,Site Reliability (SRE),Male,,,,,,,,,,,
4-2-2020,Initialyze,Business systems analyst,Mid level,,,"San Ramon, CA",95000,90000,,5000,4,3,AEM,Female,Masters,,,,,,,,,,
4-2-2020,Remitly,Decision Scientist,L2,,,"Seattle, WA",125000,105000,20000,0,3,1,Pricing,Female,PhD,,,,,,,,,,
4-2-2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Sunnyvale, CA",300000,176000,75000,49000,5,0,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-2-2020,Raytheon,Software Engineer,G8,,,"San Diego, CA",103000,103000,,3000,7,4,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-2-2020,Amazon,Security Engineer,L6,,,"Los Angeles, CA",390000,160000,230000,0,17,1,Security,Male,,,,,,,,,,,
4-2-2020,Uber,Software Engineer,Software Engineer II,Software Engineer,30.93,"San Francisco, CA",272000,172000,84000,16000,5,3,Web Development (Front-End),Male,Self-taught in web-development,,,,,,,,,,
4-2-2020,Google,Software Engineer,L5,Senior Engineer,51.02,"Mountain View, CA",330000,186000,109000,36000,13,2,Gaming,Male,,,,,,,,,,,
4-2-2020,Salesforce,Software Engineer,Lead MTS,Senior Engineer,61,"San Francisco, CA",291000,206000,55000,30000,12,3,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-2-2020,Cisco,Software Engineer,G9,,,"San Francisco, CA",275000,157000,100000,18000,4,4,Networking,Male,Masters,,,,,,,,,,
4-2-2020,LinkedIn,Software Engineer,Senior Staff Software Engineer,Staff Engineer,68.18,"Chicago, IL",510000,210000,260000,40000,7,5,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-2-2020,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Redmond, WA",250000,170000,40000,40000,6,0,Distributed Systems (Back-End),,Masters,,,,,,,,,,
4-2-2020,Google,Software Engineer,L4,Software Engineer,30.61,"Mountain View, CA",312000,180000,100000,32000,4,0,Distributed Systems (Back-End),,,,,,,,,,,,
4-2-2020,Salesforce,Software Engineering Manager,Senior Director,,53.96,"Indianapolis, IN",350000,200000,100000,50000,6,0,Full Stack,Male,,,,,,,,,,,
4-2-2020,Salesforce,Software Engineering Manager,Senior Manager,,18.81,"San Francisco, CA",370000,230000,100000,40000,8,8,Full Stack,,Masters,,,,,,,,,,
4-2-2020,Goldman Sachs,Data,Vice President,,,"New York, NY",207000,160000,,47000,12,12,Data,Male,,,,,,,,,,,
4-2-2020,VMware,Software Engineer,Senior MTS,Software Engineer,35.35,"Palo Alto, CA",240000,182000,38000,20000,5,0,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-2-2020,IBM,Software Engineer,Associate Engineer,Entry Level Engineer,10.1,"Poughkeepsie, NY",88000,88000,,0,0,0,Testing (SDET),Male,"Signing bonus $15,000",,,,,,,,,,
4-2-2020,Google,Software Engineer,L4,Software Engineer,30.61,"Austin, TX",226000,140000,65000,21000,8,0,Full Stack,Male,,,,,,,,,,,
4-2-2020,VMware,Software Engineer,Senior MTS,Software Engineer,35.35,"Bellevue, WA",215000,160000,30000,25000,7,6,Full Stack,Female,Masters,,,,,,,,,,
4-2-2020,Amazon,Software Engineering Manager,L5 SDM,,3.47,"Seattle, WA",300000,160000,40000,100000,17,2,Full Stack,Male,Masters,,,,,,,,,,
4-2-2020,Visa,Software Engineer,Senior Software Engineer,Software Engineer,39.36,"Foster City, CA",120000,107000,5000,7000,3,3,Full Stack,Male,,,,,,,,,,,
4-2-2020,Apple,Software Engineer,ICT3,Software Engineer,25,"Sunnyvale, CA",200000,165000,25000,10000,5,0.5,Site Reliability (SRE),Male,,,,,,,,,,,
4-2-2020,Texas Instruments,Applications Engineer,26,,,"Dallas, TX",101000,86000,,15000,3,3,Analog Electrical Engineer,Male,,,,,,,,,,,
4-2-2020,Procore,Software Engineer,IC2,,,"Austin, TX",130000,125000,5000,0,3,1,Full Stack,Male,6k signing bonus,,,,,,,,,,
4-2-2020,Apple,ASIC design 3,Ict 3,,,"Cupertino, CA",200000,130000,55000,15000,3,3,ASIC,,,,,,,,,,,,
4-2-2020,Nvidia,Software Engineer,IC4,Senior Engineer,41.15,"Santa Clara, CA",260000,200000,60000,0,12,1,Web Development (Front-End),,,,,,,,,,,,
4-2-2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"Menlo Park, CA",283000,167000,100000,16000,2,0,Site Reliability (SRE),Male,"$50,000 sign-on bonus",,,,,,,,,,
4-2-2020,Microsoft,Hardware Engineer,64,,,"Redmond, WA",224000,175000,24000,25000,14,5,DevOps,Male,Senior NPI Engineer - Masters,,,,,,,,,,
4-2-2020,Google,Software Engineer,L6,Staff Engineer,68.88,"Sunnyvale, CA",450000,223000,182000,48000,15,0,Security,,,,,,,,,,,,
4-2-2020,Avanade,Data Engineer,Analyst,,,"New York, NY",80000,80000,,0,0,0,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-2-2020,Square,Software Engineer,Level 5,Senior Engineer,51,"San Francisco, CA",296000,176000,120000,0,5,1,Full Stack,Male,Masters,,,,,,,,,,
4-2-2020,Texas Instruments,Hardware Engineer,26,,,"Dallas, TX",100000,80000,10000,5000,3,2,Design Verification,,,,,,,,,,,,
4-2-2020,Zillow,Data Scientist,P4,,,"San Francisco, CA",275000,175000,50000,50000,8,2,Misc.,Male,,,,,,,,,,,
4-2-2020,Facebook,Data Scientist,IC4,,,"Menlo Park, CA",280000,280000,,0,0,0,Networking,,,,,,,,,,,,
4-2-2020,Chicago Police Department,DATA ANALYST,1,,,"Chicago, IL",70000,70000,,0,1,1,TABLEAU,Male,Masters,,,,,,,,,,
4-3-2020,Ericsson,Product Manager,L8,,,"Seattle, WA",202000,156000,,46000,21,19,Sales,Male,Masters,,,,,,,,,,
4-3-2020,Microsoft,Software Engineer,Senior SDE,Senior Engineer,40.91,"Bellevue, WA",202000,167000,15000,20000,5,5,Full Stack,Female,Masters,,,,,,,,,,
4-3-2020,Dropbox,Software Engineer,IC1,Entry Level Engineer,10.1,"San Francisco, CA",169000,125000,38000,6000,0,0,Full Stack,Male,,,,,,,,,,,
4-3-2020,Google,Technical Program Manager,L4,,,"Mountain View, CA",195000,130000,45000,20000,8,2,Analytics,Male,,,,,,,,,,,
4-3-2020,Airbnb,Software Engineer,L5,Senior Engineer,54.82,"Beijing, BJ, China",500000,200000,250000,50000,9,0,Mobile (iOS + Android),Male,Masters,,,,,,,,,,
4-3-2020,Flipkart,Software Engineer,9,,,"Bangalore, KA, India",63000,32000,25000,3000,5,2,Web Development (Front-End),Male,,,,,,,,,,,
4-3-2020,Amazon,Product Manager,Senior Product Manager,,35.29,"Bangalore, KA, India",65000,40000,20000,5000,7,3.5,Web Development (Front-End),Female,Masters,,,,,,,,,,
4-3-2020,Bloomberg,Software Engineering Manager,Engineering manager,,,"New York, NY",350000,275000,,75000,11,5,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-3-2020,Capital One,Software Engineer,Senior software engineer,,,"Fairfax, VA",141000,131000,,10000,12,5,Site Reliability (SRE),Male,,,,,,,,,,,
4-3-2020,MRI Software,Software Engineer,SE 2,,,"Cleveland, OH",56000,54000,,2000,3,3,Full Stack,Male,,,,,,,,,,,
4-3-2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Boulder, CO",169000,107000,46000,16000,1,1,Web Development (Front-End),Male,,,,,,,,,,,
4-3-2020,CGI,Management Consultant,Analyst,,,"Washington, DC",74000,72000,2000,1000,0,0,FA,Male,,,,,,,,,,,
4-3-2020,AllyO,Product Manager,Senior,,,"Mountain View, CA",175000,165000,1000,10000,8,2,Full Stack,Male,Masters,,,,,,,,,,
4-3-2020,Microsoft,Software Engineer,62,Software Engineer,31.25,"Bellevue, WA",196000,161000,15000,20000,9,7,Full Stack,Female,Masters,,,,,,,,,,
4-3-2020,Google,Software Engineer,L4,Software Engineer,30.61,"Mountain View, CA",235000,150000,60000,25000,3,1,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-3-2020,LinkedIn,Software Engineer,Senior Software Engineer,Software Engineer,30.3,"Sunnyvale, CA",280000,180000,80000,20000,10,1,Site Reliability (SRE),Male,,,,,,,,,,,
4-3-2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"New York, NY",197000,135000,42000,20000,4,0,Full Stack,Female,20k sign on,,,,,,,,,,
4-3-2020,Facebook,Software Engineer,E3,Entry Level Engineer,10.1,"Dublin, DN, Ireland",100000,73000,17000,10000,7,0,Full Stack,Male,,,,,,,,,,,
4-3-2020,Apple,Hardware Engineer,L2,,,"Cupertino, CA",265000,125000,125000,15000,0,0,DV,,,,,,,,,,,,
4-3-2020,Expedia,Technical Program Manager,2,,,"Seattle, WA",120000,120000,,2000,14,5,Full Stack,,,,,,,,,,,,
4-3-2020,Intuit,Software Engineer,Software Engineer 1,Entry Level Engineer,10.1,"Mountain View, CA",142000,120000,12000,10000,3,0,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-3-2020,Anaplan,Software Engineer,L4,,,"San Francisco, CA",325000,225000,70000,35000,10,1,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-3-2020,Facebook,Software Engineer,Senior,,,"New York, NY",300000,150000,75000,75000,14,4,iOS,Female,,,,,,,,,,,
4-3-2020,Microsoft,Software Engineer,64,Senior Engineer,50.57,"Seattle, WA",280000,210000,35000,35000,19,8,DevOps,Male,"$100,000 on hire stock, $60,000 discretionary stock top-up after 6yrs",,,,,,,,,,
4-3-2020,Salesforce,Software Engineer,Lead MTS,Senior Engineer,61,"Bellevue, WA",264000,186000,50000,28000,9,3,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-3-2020,Oracle,Technical Service Engineer,IC-2,,,"New York, NY",83000,83000,,0,3,2,Ad-Tech,Male,Masters,,,,,,,,,,
4-3-2020,Amazon,Solution Architect,L6,,,"New York, NY",235000,150000,40000,45000,10,2,Distributed Systems (Back-End),,Masters,,,,,,,,,,
4-3-2020,eBay,Software Engineering Manager,25,,,"Amsterdam, NH, Netherlands",132000,100000,22000,10000,16,2,Site Reliability (SRE),Male,,,,,,,,,,,
4-3-2020,Apple,Software Engineer,ICT4,Senior Engineer,50,"Cupertino, CA",350000,200000,135000,15000,6,6,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-3-2020,Google,Product Manager,L6,,,"Mountain View, CA",430000,200000,190000,40000,27,1,Mobile (iOS + Android),Male,Masters,,,,,,,,,,
4-3-2020,General Motors,Software Engineer,Software Engineer 1,Entry Level Engineer,10,"Phoenix, AZ",65000,65000,,0,0,0,Full Stack,Male,,,,,,,,,,,
4-3-2020,ServiceNow,Software Engineer,IC2,Software Engineer,31.31,"Santa Clara, CA",162000,125000,25000,12000,3,3,Web Development (Front-End),,Masters,,,,,,,,,,
4-3-2020,Google,Software Engineer,L3,Entry Level Engineer,10.2,"Mountain View, CA",165000,130000,25000,10000,1,1,Android,Male,,,,,,,,,,,
4-3-2020,VMware,Software Engineer,MTS 2,Entry Level Engineer,11.11,"Palo Alto, CA",139000,123000,10000,6000,1,1,Site Reliability (SRE),Female,Masters,,,,,,,,,,
4-3-2020,ServiceNow,Software Engineer,IC4,Staff Engineer,67.68,"San Diego, CA",228000,160000,36000,32000,20,0,Web Development (Front-End),Male,,,,,,,,,,,
4-3-2020,Autodesk,Software Engineer,Principal Engineer,Senior Engineer,45.96,"San Francisco, CA",250000,185000,27000,38000,10,3,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-3-2020,Ouster Inc,Software Engineer,New Grad,,,"San Francisco, CA",110000,110000,,0,0,0,ML / AI,Male,"Private startup (100ish people). There was equity, but hard to value (they valued it at 100k per year, but very high uncertainty)",,,,,,,,,,
4-3-2020,Autodesk,Product Designer,Intern,,,"San Francisco, CA",104000,104000,,0,1,0.25,Mobile (iOS + Android),Female,,,,,,,,,,,
4-3-2020,Amazon,Product Manager,Product Manager,,11.76,"Seattle, WA",240000,160000,40000,40000,7,0,Security,,,,,,,,,,,,
4-3-2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Seattle, WA",158000,112000,20000,26000,1,1,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-3-2020,ByteDance,Software Engineering Manager,3-2,,,"Mountain View, CA",840000,240000,500000,100000,7,1,ML / AI,Male,PhD,,,,,,,,,,
4-3-2020,Microsoft,Software Engineer,SDE II,Software Engineer,21.59,"Seattle, WA",181000,137000,30000,13000,3,0,API Development (Back-End),,Masters,,,,,,,,,,
4-3-2020,Chewy,Software Engineer,L3,,,"Boston, MA",185000,160000,10000,15000,6,3,API Development (Back-End),Male,Masters,,,,,,,,,,
4-3-2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"San Francisco, CA",302000,167000,100000,35000,2,0,iOS,Male,,,,,,,,,,,
4-3-2020,Microsoft,Sr. Manager Corporate Strategy,62,,,"Redmond, WA",200000,145000,20000,35000,5,0,Strategy,Female,Masters,,,,,,,,,,
4-3-2020,Microsoft,Software Engineer,SDE,Entry Level Engineer,3.98,"Redmond, WA",141000,110000,20000,11000,0,0,API Development (Back-End),,,,,,,,,,,,
4-3-2020,PayPal,Software Engineer,T23,Entry Level Engineer,16.9,"San Jose, CA",160000,130000,12000,18000,2,0,Full Stack,Male,,,,,,,,,,,
4-3-2020,Autodesk,Software Engineer,Software Engineer 1,Entry Level Engineer,4.04,"San Francisco, CA",200000,165000,15000,17000,7,0,Web Development (Front-End),Male,Masters,,,,,,,,,,
4-3-2020,Capital One,Software Engineer,Software Eng,Software Engineer,20.19,"New York, NY",129000,124000,,5000,3,3,API Development (Back-End),Male,,,,,,,,,,,
4-3-2020,Qualcomm,Software Engineer,Senior Engineer,Software Engineer,29,"San Diego, CA",168000,117000,35000,16000,6,6,Testing (SDET),Male,Masters,,,,,,,,,,
4-3-2020,ServiceNow,Solution Consultant,L4,,,"London, EN, United Kingdom",190000,106000,51000,36000,20,4,Security,Male,,,,,,,,,,,
4-3-2020,Google,Software Engineer,L5,Senior Engineer,51.02,"Sunnyvale, CA",380000,197000,153000,30000,13,0,Distributed Systems (Back-End),Male,Masters,,,,,,,,,,
4-3-2020,Intel,Hardware Engineer,Grade 9,,,"Santa Clara, CA",290000,190000,34000,70000,15,2,Process,Male,Masters,,,,,,,,,,
4-3-2020,Cisco,Software Engineer,Software Engineer III,Software Engineer,26.8,"San Jose, CA",146000,131000,,15000,3,3,Distributed Systems (Back-End),Female,,,,,,,,,,,
4-3-2020,Amazon,Technical Program Manager,L6,,,"Seattle, WA",233000,160000,72000,0,7,3,Mobile (iOS + Android),Male,,,,,,,,,,,
4-3-2020,Jacobs,Civil Engineer,L2,,,"Brisbane, QL, Australia",42000,42000,,0,4,4,Roads,Female,,,,,,,,,,,
4-3-2020,Fidelity Investments,Management Consultant,Analyst,,,"Boston, MA",75000,63000,,12000,0,0,Business Strategy,Male,,,,,,,,,,,
4-3-2020,Square,Software Engineer,Level 3,Entry Level Engineer,10,"San Francisco, CA",170000,118000,37000,15000,0,0,Full Stack,Male,Student new hire,,,,,,,,,,
